22     T
WVL(um)   K         N         nmon        a    df   rmon      xv   ang  rcore     KSHELL    NSHELL
0.532     0.612288  1.72254   15.62       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   21.95       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   31.26       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   43.80       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   61.62       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   88.12       1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   125.00      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   175.62      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   247.08      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   350.40      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   493.04      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   699.04      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   958.07      1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   1395.54     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   1964.84     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   2773.51     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   3925.62     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   5545.23     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   7821.34     1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   14751.19    1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   15625.00    1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
0.532     0.612288  1.72254   31181.52    1.0  2.0  0.02      1.0  0.0  0.0051    0.00      1.55
~                                                                                                
