22     T
WVL(um)   K         N         nmon        a    df   rmon      xv   ang  rcore     KSHELL    NSHELL
0.532     0.612288  1.72254   1.00        1.0  2.0  0.05      1.0  0.0  0.012     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.05      1.0  0.0  0.014     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.06      1.0  0.0  0.016     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.07      1.0  0.0  0.018     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.07      1.0  0.0  0.020     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.08      1.0  0.0  0.022     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.10      1.0  0.0  0.025     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.11      1.0  0.0  0.028     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.12      1.0  0.0  0.032     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.14      1.0  0.0  0.035     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.15      1.0  0.0  0.040     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.17      1.0  0.0  0.045     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.19      1.0  0.0  0.050     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.22      1.0  0.0  0.056     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.25      1.0  0.0  0.063     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.28      1.0  0.0  0.071     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.31      1.0  0.0  0.079     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.35      1.0  0.0  0.089     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.39      1.0  0.0  0.100     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.49      1.0  0.0  0.123     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.50      1.0  0.0  0.126     0.00      1.55
0.532     0.612288  1.72254   1.00        1.0  2.0  0.63      1.0  0.0  0.158     0.00      1.55
